,AGENCE,CODE RESPONSABLE,,,,,,,,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,,N AGENCE,N CODE RESP,,N° Prospect,Agence,Libellé Agence,
90142,102,21,1140604,0,,,,,90142,69730,LYON,
92485,102,21,1140604,0,,,,,92485,86730,POITIERS,
92602,102,21,1140604,0,,,,,92602,01730,BOURG EN BRESSE,
93445,102,21,1140604,0,,,,,93445,69730,LYON,
93699,102,21,1140604,0,,,,,93699,89730,AUXERRE,
93805,102,21,1140604,0,,,,,93805,92730,PARIS,
96089,102,21,1140604,0,,,,,96089,49730,ANGERS,
97382,102,21,1140604,0,,,,,97382,49730,ANGERS,
97912,102,21,1140604,0,,,,,97912,89730,AUXERRE,
98424,102,21,1140604,0,,,,,98424,49730,ANGERS,
98590,102,21,1140604,0,,,,,98590,35760,D.R./RENNES,
98858,102,21,1140604,0,,,,,98858,54730,NANCY,
98870,102,21,1140604,0,,,,,98870,35760,D.R./RENNES,
98943,102,21,1140604,0,,,,,98943,89730,AUXERRE,
99694,102,21,1140604,0,,,,,99694,44730,NANTES,
100169,102,21,1140604,0,,,,,100169,76750,D.R./ROUEN,
100252,102,21,1140604,0,,,,,100252,49730,ANGERS,
101190,102,21,1140604,0,,,,,101190,92730,PARIS,
101362,102,21,1140604,0,,,,,101362,76750,D.R./ROUEN,
101503,102,21,1140604,0,,,,,101503,69730,LYON,
101680,102,21,1140604,0,,,,,101680,44730,NANTES,
102503,102,21,1140604,0,,,,,102503,92730,PARIS,
103372,102,21,1140604,0,,,,,103372,89730,AUXERRE,
103897,102,21,1140604,0,,,,,103897,89730,AUXERRE,
104551,102,21,1140604,0,,,,,104551,35730,RENNES,
104681,102,21,1140604,0,,,,,104681,35730,RENNES,
105013,102,21,1140604,0,,,,,105013,35760,D.R./RENNES,
105286,102,21,1140604,0,,,,,105286,,,
105398,102,21,1140604,0,,,,,105398,44730,NANTES,
107077,102,21,1140604,0,,,,,107077,49730,ANGERS,
107359,102,21,1140604,0,,,,,107359,49730,ANGERS,
108379,102,21,1140604,0,,,,,108379,49730,ANGERS,
108583,102,21,1140604,0,,,,,108583,44730,NANTES,
109451,102,21,1140604,0,,,,,109451,21730,DIJON,
109498,102,21,1140604,0,,,,,109498,41720,BLOIS INTERIM,
110103,102,21,1140604,0,,,,,110103,13730,MARSEILLE,
110115,102,21,1140604,0,,,,,110115,35760,D.R./RENNES,
110411,102,21,1140604,0,,,,,110411,35760,D.R./RENNES,
110488,102,21,1140604,0,,,,,110488,44730,NANTES,
110499,102,21,1140604,0,,,,,110499,35730,RENNES,
110810,102,21,1140604,0,,,,,110810,44730,NANTES,
110842,102,21,1140604,0,,,,,110842,44730,NANTES,
111569,102,21,1140604,0,,,,,111569,35760,D.R./RENNES,
111678,102,21,1140604,0,,,,,111678,,,
111687,102,21,1140604,0,,,,,111687,49730,ANGERS,
111832,102,21,1140604,0,,,,,111832,01730,BOURG EN BRESSE,
113288,102,21,1140604,0,,,,,113288,59730,LILLE,
113889,102,21,1140604,0,,,,,113889,76750,D.R./ROUEN,
114135,102,21,1140604,0,,,,,114135,59730,LILLE,
114407,102,21,1140604,0,,,,,114407,,,
114509,102,21,1140604,0,,,,,114509,86730,POITIERS,
114679,102,21,1140604,0,,,,,114679,92730,PARIS,
115185,102,21,1140604,0,,,,,115185,31730,TOULOUSE,
